publishedAtDate;stars;text;title
2022-12-13T11:03:58.086Z;4;;OBI Markt Wien Triester Str.
2022-12-12T22:21:32.711Z;5;Great finds!;OBI Markt Wien Triester Str.
2022-12-12T19:33:52.921Z;5;;OBI Markt Wien Triester Str.
2022-12-12T18:27:40.343Z;5;;OBI Markt Wien Triester Str.
2022-12-12T18:24:56.751Z;3;;OBI Markt Wien Triester Str.
2022-12-12T14:43:22.885Z;5;Alles Top, Freundliche Mitarbeiter! Gerne wieder, Danke!;OBI Markt Wien Triester Str.
2022-12-11T15:52:53.220Z;5;;OBI Markt Wien Triester Str.
2022-12-11T15:12:53.302Z;5;;OBI Markt Wien Triester Str.
2022-12-11T13:21:13.914Z;5;;OBI Markt Wien Triester Str.
2022-12-10T22:17:13.100Z;5;Große Auswahl, super;OBI Markt Wien Triester Str.
2022-12-10T10:47:24.423Z;5;Angemessene Preise und gutes Lächeln des Personals;OBI Markt Wien Triester Str.
2022-12-09T13:24:06.708Z;5;;OBI Markt Wien Triester Str.
2022-12-08T06:14:27.344Z;5;alles super;OBI Markt Wien Triester Str.
2022-12-07T08:48:25.278Z;5;;OBI Markt Wien Triester Str.
2022-12-06T18:22:00.149Z;3;??????;OBI Markt Wien Triester Str.
2022-12-06T16:50:45.256Z;5;;OBI Markt Wien Triester Str.
2022-12-06T13:33:50.213Z;5;;OBI Markt Wien Triester Str.
2022-12-06T11:59:01.273Z;1;Objektiv: sie geben sich Mühe.;OBI Markt Wien Triester Str.
2022-12-06T10:53:32.394Z;1;"Echt traurig: Online ein Duschset zur Abholung in Vösendorf bei Wien bestelle, dieses war dann im Obi Triester Str. zur Abholung bereit. Wozu wählt man den Markt überhaupt aus. Dann 1,5 nach Bestellung noch immer kein Lebenszeichen (Info zur Abholung). Im Markt angerufen, den Marktleiter verlangt. Plötzlich siehe da, 1 Tag später bereit zur Abholung. Bei der Montage bemerkt, dass Teile abgebrochen sind (leider erst nachdem die Hälfte schon montiert war). Zurück zum Markt Teile zurück gegeben. Dort Einspruch vom Markt, man benötigt schon alle Teile zurück nicht nur die Teile wo etwas abgebrochen sei (alles wieder demontiert logischer weiße und retour). Ein Affentheater. Ich hätte ja gerne noch etwas kaufen wollen. Aber bei diesem Service am Kunden und der Argumentation der Teamleiter wie auch Marktleiter ... ""man kann ja nichts tun"", ""das sind Vorgaben"", ""wenn dann so oder leider garnicht"" stellt es mir die Haare auf.
Mein Fazit somit. Künftig wird nur noch bei Hornbach und Bauhaus gekauft ... oder auf Amazon (bei letzterem wird wenigstens anstandslos retourniert oder ausgetauscht ohne diskutieren zu müssen).";OBI Markt Wien Triester Str.
2022-12-05T00:04:39.479Z;5;??? ????? ?????? ?????? ????? ???? ??? ???? ??? ????;OBI Markt Wien Triester Str.
2022-12-04T19:10:04.224Z;5;;OBI Markt Wien Triester Str.
2022-12-04T09:00:04.321Z;3;;OBI Markt Wien Triester Str.
2022-12-03T22:43:20.209Z;5;Einfach Super;OBI Markt Wien Triester Str.
2022-12-03T20:53:50.914Z;4;;OBI Markt Wien Triester Str.
2022-12-02T15:27:15.381Z;5;;OBI Markt Wien Triester Str.
2022-12-01T12:38:46.261Z;4;;OBI Markt Wien Triester Str.
2022-12-01T07:23:24.422Z;5;;OBI Markt Wien Triester Str.
2022-11-30T20:44:07.067Z;1;;OBI Markt Wien Triester Str.
2022-11-30T19:06:02.831Z;5;;OBI Markt Wien Triester Str.
2022-11-30T15:08:56.417Z;4;;OBI Markt Wien Triester Str.
2022-11-30T06:15:23.314Z;4;;OBI Markt Wien Triester Str.
2022-11-29T15:29:08.831Z;5;;OBI Markt Wien Triester Str.
2022-11-29T14:22:25.843Z;1;;OBI Markt Wien Triester Str.
2022-11-29T12:45:54.834Z;5;Netter Verkäufer der mir blöde Fragen beantwortet hat (Wasser).;OBI Markt Wien Triester Str.
2022-11-29T12:21:20.214Z;5;;OBI Markt Wien Triester Str.
2022-11-29T06:53:55.340Z;5;;OBI Markt Wien Triester Str.
2022-11-27T23:19:18.300Z;5;Super negozio per la casa molto grande e con parcheggio per  2 ore gratis;OBI Markt Wien Triester Str.
2022-11-26T17:03:54.291Z;4;??????? ?????,  ???? ????? ???, ???? ?????, ??????????;OBI Markt Wien Triester Str.
2022-11-26T11:36:55.047Z;4;Alles top wie immer;OBI Markt Wien Triester Str.
