likesCount;publishedAtDate;stars;text;title
0;2023-02-13T16:01:45.961Z;5;;FERHAT D?NER
1;2023-02-13T08:05:53.119Z;4;Leckere Angelegenheit, aber Geschmack wird dem Ruf und social Mediahype nicht gerecht.;FERHAT D?NER
1;2023-02-13T08:04:59.844Z;5;Die Schlange war sehr lang aber f?r den D?ner verst?ndlich. Es war extrem lecker, bester D?ner. Kann man nur weiterempfehlen.;
;;;;
1;2023-02-13T07:59:22.612Z;5;Unglaublich guter D?ner. Ich war gleich am n?chsten Tag nochmal dort. Das ist wirklich ein Geschmackserlebnis. Das muss man unbedingt probieren. Wer das nicht probiert vers?umt was;FERHAT D?NER
0;2023-02-13T07:52:50.324Z;5;;FERHAT D?NER
0;2023-02-13T04:32:30.258Z;4;Great lunch/dinner spot for authentic lamb doner.;
;;;;
0;2023-02-12T21:15:18.457Z;5;;FERHAT D?NER
0;2023-02-12T18:35:10.087Z;4;;FERHAT D?NER
1;2023-02-12T17:38:27.856Z;2;It?s overhyped. Big lines, very simple Donar.  few vegetables, meat is good, but nothing special.;FERHAT D?NER
1;2023-02-12T14:39:12.192Z;5;Extrem guter D?r?m. Echt beispiellos;FERHAT D?NER
0;2023-02-12T12:48:54.658Z;5;;FERHAT D?NER
0;2023-02-12T09:48:10.080Z;5;;FERHAT D?NER
1;2023-02-11T22:54:21.339Z;5;????;FERHAT D?NER
1;2023-02-11T22:40:13.545Z;5;Das ist mal ein Kebab ??;FERHAT D?NER
0;2023-02-11T12:32:07.056Z;5;;FERHAT D?NER
2;2023-02-11T11:54:08.515Z;4;Immer voll.  Sie akzeptieren nur Bargeld??? Warum.;FERHAT D?NER
2;2023-02-11T08:10:47.827Z;5;Fleisch 10/10;FERHAT D?NER
0;2023-02-10T18:38:27.423Z;3;???? ???? ??????!!! ??? ?????? ???????!! ?????? ?? ?????????? ?? ?????!! ? ????? ?????????!! ???? ?? ??????? ???? ??? ??????!!;FERHAT D?NER
2;2023-02-10T13:12:25.172Z;5;Bester D?ner in Wien. Preis angemessen, die Warterei zahlt sich aus.;FERHAT D?NER
1;2023-02-10T11:10:17.674Z;5;S?per lezzetli;FERHAT D?NER
1;2023-02-09T22:56:17.700Z;5;Super Kebap;FERHAT D?NER
0;2023-02-09T20:20:32.077Z;5;;FERHAT D?NER
1;2023-02-09T09:35:08.855Z;5;Wann in Deutschland:(;FERHAT D?NER
1;2023-02-07T23:34:54.378Z;5;best kebab durum in my life. do yourself a favour and go eat here! lovely wrap made at the time, fresh tasty meat, awesome ingredients and sauce. the workers are nice too.;FERHAT D?NER
1;2023-02-07T20:41:03.448Z;5;Extra;FERHAT D?NER
0;2023-02-07T07:46:47.281Z;5;;FERHAT D?NER
1;2023-02-07T07:30:41.351Z;4;D?ner bisschen anders als gewohnt, aber sehr gut. Brot zerf?llt nicht, Fleisch ist bisschen zu viel drin (man kann sich die Menge aussuchen), schnelle Bedienung bei vollem Lokal und preislich etwas dr?ber. Auf jedenfall einen Besuch wert, aber w?rde nicht nur wegen dem Hype hinfahren.;FERHAT D?NER
2;2023-02-06T20:13:39.863Z;5;Kurz Zusammengefasst: Der beste D?ner den ich gegessen habe! Lasst euch selbst ?berzeugen.. Das Fleisch schmeckt wie ein Steak, die Qualit?t richtig hochwertig. Das Brot (Sandwich und D?r?m) schmeckt auch richtig lecker.. Meine Empfehlung ist den D?ner ohne So?e dann habt ihr den 100% Geschmack!;FERHAT D?NER
1;2023-02-06T13:54:28.020Z;1;Was ein Hype und diesen D?ner. Kann ich leider nicht best?tigen. Bin mit gro?en Erwartungen hingefahren und wurde entt?uscht. Brot wird dort live selber herstellt schaut auch alles super aus. Aber leider finde ich die D?ner dort zu trocken. Schmeckt wie ein normales Weizen Br?tchen. Und das Fleisch hat einen ganz komischen Geschmack. Das liegt wahrscheinlich an dem Lamm.;
;;;;
1;2023-02-05T17:37:17.704Z;5;Zuletzt hatte ich in meiner Kindheit diesen Geschmack gekostet. F?r mich zurzeit das beste D?ner in Europa;FERHAT D?NER
0;2023-02-05T13:10:52.720Z;4;;FERHAT D?NER
1;2023-02-05T10:54:55.246Z;5;Das Fleisch ist 100% aus ?sterreich, Brot und (!) D?r?m wird permanent frisch gebacken, schmeckt super;FERHAT D?NER
0;2023-02-04T22:48:52.385Z;5;;FERHAT D?NER
0;2023-02-04T21:14:53.403Z;5;;FERHAT D?NER
0;2023-02-04T20:06:52.313Z;5;;FERHAT D?NER
0;2023-02-04T09:58:18.162Z;5;;FERHAT D?NER
1;2023-02-04T01:04:09.105Z;1;Absolut ?berbewertet! Nie wieder!!!;FERHAT D?NER
0;2023-02-03T20:37:59.629Z;5;;FERHAT D?NER
1;2023-02-03T18:45:19.007Z;5;I love it;FERHAT D?NER
0;2023-02-03T18:29:34.378Z;3;;FERHAT D?NER
0;2023-02-03T17:27:34.514Z;4;;FERHAT D?NER
1;2023-02-03T16:04:34.558Z;5;Die Zutaten sin lecker obe das Fleisch..boah;FERHAT D?NER
0;2023-02-03T10:38:46.706Z;5;;FERHAT D?NER
0;2023-02-03T09:29:34.260Z;5;;FERHAT D?NER
1;2023-02-02T15:28:58.995Z;3;Nach einem Jahr Purer-Hype endlich einmal hin. Warteschlagne ?berraschend kurz nur so ca. 10min gewartet. Man bestellt zweimal, einmal bei der Kassa und dann noch einmal bei denen die den Kebap dann machen. Der Geschmack (Scharf mit allem 120g Fleisch) vom Kebap ist relativ unspektakul?r, ich finde andere Kebaps deutlich besser vom Geschmack. Klar schmecken die einzelnen Zutaten gut, aber alles in allem war der Kebap den Hype f?r mich nicht wert und keine 5.60?. War also das erste und letzte mal f?r mich.;FERHAT D?NER
0;2023-02-02T07:21:53.544Z;5;;FERHAT D?NER
0;2023-02-01T22:55:53.477Z;4;L?nger als 20min w?rd ich nicht warten, lohnt sich nicht. Aber sonst bester D?ner in ganz Wien. Fleisch is richtig geil.;FERHAT D?NER
1;2023-02-01T22:13:03.551Z;5;Mit Abstand der beste D?ner den ich jemals gegessen habe. Vom hervorragenden Fleisch Geschmack bis hin zum super knusprigem und fluffigem Brot 1A*;
;;;;
0;2023-02-01T14:51:38.902Z;5;;FERHAT D?NER
0;2023-02-01T11:08:08.676Z;5;;FERHAT D?NER
1;2023-01-31T09:49:16.091Z;4;Qualit?t mit Masse und schmackhaft;FERHAT D?NER
2;2023-01-31T07:25:25.230Z;5;Sehr lecker einer der besten D?nnet die ich hatte;FERHAT D?NER
2;2023-01-30T17:23:54.962Z;5;Der Laden hat alles richtig gemacht! Bravo an der Betreiber! Bin selber Gastronom daher kein Neid sonder tolle Leistung. Weiter so..;FERHAT D?NER
0;2023-01-30T15:39:35.495Z;5;;FERHAT D?NER
0;2023-01-30T14:26:23.670Z;5;;FERHAT D?NER
